HGNC ID	Approved Symbol	Previous Symbols	Synonyms	RefSeq IDs	Entrez Gene ID(supplied by NCBI)
HGNC:100	ASIC1	ACCN2	BNaC2, hBNaC2	NM_020039	41
HGNC:1000	BCL5				603
HGNC:10000	RGS4	SCZD9		NM_005613	5999
HGNC:10001	RGS5			NM_003617	8490
HGNC:10002	RGS6				9628
HGNC:10003	RGS7			NM_002924	6000
HGNC:10004	RGS9		PERRS, RGS9L, MGC26458, MGC111763	NM_003835	8787
HGNC:10006	RHAG		RH50A, CD241, SLC42A1		6005
HGNC:10007	RHBDL1	RHBDL	RRP	NM_003961	9028
HGNC:10008	RHCE	RH	CD240CE	NM_020485	6006
HGNC:10009	RHD	RH	Rh30a, Rh4, RhPI, RhII, DIIIc, CD240D	NM_016124	6007
HGNC:1001	BCL6	ZNF51	ZBTB27, LAZ3, BCL5, BCL6A	NM_138931	604
HGNC:10010	RHEBP1	RHEB1	RHEB		6008
HGNC:10011	RHEB	RHEB2		NM_005614	6009
HGNC:10012	RHO	RP4	OPN2, CSNBAD1	NM_000539	6010
HGNC:10013	GRK1	RHOK	GPRK1, RK	NM_002929	6011
HGNC:10015	RIEG2		ARS		6012
HGNC:10017	RIT2	RIN	RIBA	NM_002930	6014
HGNC:10018	RING1		RNF1		6015
HGNC:10019	RIPK1		RIP	NM_003804	8737
HGNC:1002	BCL6B	ZNF62	ZBTB28, BAZF	NM_181844	255877
HGNC:10020	RIPK2		RICK, RIP2, CARDIAK, CARD3		8767
HGNC:10021	RIPK3		RIP3	NM_006871	11035
HGNC:10023	RIT1	RIT	RIBB, ROC1, MGC125864, MGC125865	NM_006912	6016
HGNC:10024	RLBP1		CRALBP	NM_000326	6017
HGNC:10025	RLF		ZNF292L, Zn-15L	NM_012421	6018
HGNC:10026	RLN1		H1		6013
HGNC:10027	RLN2		H2, RLXH2, bA12D24.1.1, bA12D24.1.2	NM_134441	6019
HGNC:10030	RMD1				6022
HGNC:10031	RMRP	CHH	RMRPR, RRP2, NME1	NR_003051	6023
HGNC:10034	RN5S1@	RN5S			6025
HGNC:10037	RN7SK		7SK	NR_001445	125050
HGNC:10038	RN7SL1	RN7SL	7SL, 7L1a, RNSRP1	NR_002715	6029
HGNC:10039	RN7SL4P	RN7SLP1, RN7SL427P	7L28	NG_002425	6030
HGNC:1004	BCL7A	BCL7			605
HGNC:10040	RN7SL5P	RN7SLP2, RN7SL249P	7LEM1	NG_002426	6031
HGNC:10041	RN7SL6P	RN7SLP3, RN7SL848P	7L7	NG_002427	6032
HGNC:10042	RN7SL7P	RN7SLP4, RN7SL27P	7L23	NG_002428	6033
HGNC:10043	RN7SL8P	RN7SLP5, RN7SL433P	7L63	NG_002429	6034
HGNC:10044	RNASE1	RNS1			6035
HGNC:10045	RNASE2	RNS2	EDN		6036
HGNC:10046	RNASE3	RNS3	ECP	NM_002935	6037
HGNC:10047	RNASE4				6038
HGNC:10048	RNASE6	RNS6			6039
HGNC:10049	RNASEH1P1	RNASEH1	RNH1		284203
HGNC:1005	BCL7B			NM_001707	9275
HGNC:10050	RNASEL	RNS4, PRCA1		NM_021133	6041
HGNC:10055	RNF10		KIAA0262, RIE2		9921
HGNC:10056	RNF11		CGI-123, Sid1669p, MGC51169	NM_014372	26994
HGNC:10057	RNF13		RZF	NM_183384	11342
HGNC:10058	RNF14		ARA54, HFB30, TRIAD2	NM_004290	9604
HGNC:10059	TRIM38	RNF15	RORET		10475
HGNC:1006	BCL7C			NM_004765	9274
HGNC:10060	RNF17	TDRD4	Mmip-2, SPATA23, FLJ11045	NM_031994	56163
HGNC:10061	RNF2		BAP-1, BAP1, DING, HIPI3, RING1B, RING2	NM_007212	6045
HGNC:10062	RNF20		FLJ20382, FLJ11189, KAIA2779, BRE1A, hBRE1, BRE1	NM_019592	56254
HGNC:10063	TRIM34	RNF21		NM_001003827	53840
HGNC:10064	TRIM3	RNF22	HAC1, BERP, RNF97	NM_006458	10612
HGNC:10065	TRIM39	RNF23		NM_172016	56658
HGNC:10066	PCGF3	RNF3	FLJ36550, DONG1, RNF3A, MGC40413	NM_006315	10336
HGNC:10067	RNF4		RES4-26, SNURF, SLX5	NM_002938	6047
HGNC:10068	RNF5		NG2, G16, RING5, RMA1	NM_006913	6048
HGNC:10069	RNF6		DKFZp686P0776	NM_005977	6049
HGNC:1007	NBEAP1	BCL8	BCL8A	NR_027992	606
HGNC:10070	RNF7		SAG, ROC2, CKBBP1	NM_014245	9616
HGNC:10071	RNF8		KIAA0646		9025
HGNC:10072	TRIM10	RNF9	RFB30, HERF1		10107
HGNC:10073	RNGTT		HCE, HCE1, hCAP		8732
HGNC:10074	RNH1	RNH	RAI	NM_203389	6050
HGNC:10075	RNMT		RG7MT1	NM_003799	8731
HGNC:10078	RNPEP			NM_020216	6051
HGNC:10079	RNPEPL1			NM_018226	57140
HGNC:1008	BCL9			NM_004326	607
HGNC:10080	RNPS1			NM_080594	10921
HGNC:10082	RNR1				6052
HGNC:10083	RNR2				6053
HGNC:10084	RNR3				6054
HGNC:10085	RNR4				6055
HGNC:10086	RNR5				6056
HGNC:10096	SNORD80	RNU100	Z15, U80	NR_003940	26774
HGNC:10097	SNORD4A	RNU101A	Z17A, mgh18S-121	NR_000010	26773
HGNC:10098	SNORD4B	RNU101B	Z17B	NR_000009	26772
HGNC:10099	SNORD102	RNU102	U102	NR_002574	26771
HGNC:101	ASIC3	ACCN3	TNaC1, DRASIC	NM_004769	9311
HGNC:10100	SNORD79	RNU103	Z22, U79	NR_003939	26770
HGNC:10101	SNORD81	RNU104	Z23, U81	NR_003938	26769
HGNC:10103	RNU105B		E1-2	NR_004386	26767
HGNC:10104	RNU105C		E1-5, E1-6, U105C	NR_004385	26766
HGNC:10105	SNORD12C	RNU106, SNORD106	U106	NR_002433	26765
HGNC:10106	SNORA63	RNE3, RNU107	E3, E3-2	NR_002586	6043
HGNC:10107	SNORA62	RNE2, RNU108	E2, E2-1	NR_002324	6044
HGNC:10108	RNU11		U11, RNU11-1	NR_004407	26824
HGNC:10109	RNU12-2P	RNU12, RNU12P	U12	NG_013273	26823
HGNC:10110	SNORD13P1	RNU13P1	U13, U13.32A		6076
HGNC:10111	SNORD13P2	RNU13P2	U13, U13.12A		6077
HGNC:10112	SNORD13P3	RNU13P3	U13, U13.4B		6078
HGNC:10113	SNORD14A	RNU14	U14, RNU14A	NR_000022	26822
HGNC:10114	SNORD15A	RNU15A	U15A	NR_000005	6079
HGNC:10115	SNORA73A	RNE1, RNU17A	U17A, E1-7, E1b, E1	NR_002907	6080
HGNC:10116	SNORA73B	RNU17B, RNU105A	U17B, E1c	NR_004406	6081
HGNC:10118	SNHG3	RNU17D, RNU17C	U17HG, U17HG-A, NCRNA00014	NR_002909.1	8420
HGNC:10119	SNORA74A	RNU19	U19	NR_002915	26821
HGNC:1012	OPN1SW	BCP	BOP, CBT	NM_001708	611
HGNC:10120	RNU1-1	RNU1, RNU1G4, RNU1A3, RNU1A	Rnu1a1, U1, HU1-1, U1A1, HSD1	NR_004430	26871
HGNC:10123	RNU1-2	RNU1C1, RNU1C2	U1C1, U1C21	NR_004427	26870
HGNC:10128	RNU1-4	RNU1E2, RNU1G2, RNU1D2, RNU1F1, RNU1G1	HSD6, U1E2, HSD2, U1D2, HSD5, U1B2, U1F, HSD7	NR_004421	6060
HGNC:10130	RNU1-3	RNU1G3	HSD4	NR_004408	26869
HGNC:10133	RNVU1-1	RNU1P10, RNU1-10P	vU1.1, U1P14, U1.4	NG_001259	
HGNC:10134	RNVU1-11	RNU1P2, RNU1-12P	vU1.11, U1P2A		6063
HGNC:10137	RNU1-11P	RNU1P5	U1P1A, RNU1P1	NG_001264	26861
HGNC:10138	RNU1-13P	RNU1P6	U1P1, U1.1	NG_001263	26860
HGNC:10139	RNU1-14P	RNU1P7	U1P17	NG_001262	26859
HGNC:1014	BCR	D22S11, BCR1	D22S662, CML, PHL, ALL	NM_004327	613
HGNC:10140	RNU1-15P	RNU1P8	U1P11	NG_001261	26858
HGNC:10142	RNU2-1		U2	NR_002716	6066
HGNC:10143	SNORD20	RNU20	U20	NR_002908	6082
HGNC:10144	SNORD21	RNU21	U21	NR_000006	6083
HGNC:10145	SNORD22	RNU22	U22	NR_000008	9304
HGNC:10146	SNORD24	RNU24	U24	NR_002447	26820
HGNC:10147	SNORD25	RNU25	U25	NR_002565	9303
HGNC:10148	SNORD26	RNU26	U26	NR_002564	9302
HGNC:10149	SNORD27	RNU27	U27	NR_002563	9301
HGNC:1015	BCRP2	BCR2, BCRL2	BCR-2	NG_007131	400892
HGNC:10150	SNORD28	RNU28	U28	NR_002562	9300
HGNC:10151	SNORD29	RNU29	U29	NR_002559	9297
HGNC:10152	RNU2-2P	RNU2B, RNU2-2	U2	NR_002761	26855
HGNC:10153	RNU2-3P	RNU2P1	U2		26854
HGNC:10154	RNU2-4P	RNU2P2	U2, U2/7		26853
HGNC:10155	RNU2-5P	RNU2P3	U2, u2.7		26852
HGNC:10157	SNORD30	RNU30	U30	NR_002561	9299
HGNC:10158	SNORD31	RNU31	U31	NR_002560	9298
HGNC:10159	SNORD32A	RNU32	U32, U32A	NR_000021	26819
HGNC:1016	BCRP3	BCR3, BCRL6, BCRL3			644165
HGNC:10160	SNORD33	RNU33	U33	NR_000020	26818
HGNC:10161	SNORD34	RNU34	U34	NR_000019	26817
HGNC:10162	SNORD35A	RNU35	U35, RNU35A	NR_000018	26816
HGNC:10163	SNORD36A	RNU36A	U36a	NR_002448	26815
HGNC:10164	SNORD36B	RNU36B	U36b	NR_000017	26814
HGNC:10165	SNORD36C	RNU36C	U36c	NR_000016	26813
HGNC:10166	SNORD37	RNU37	U37	NR_002602	26812
HGNC:10168	SNORD3B-1	RNU3A1	U3a, U3b1, U3b2	NR_003271	26851
HGNC:1017	BCRP4	BCR4, BCRL4	BCR-4	NG_000002	616
HGNC:10175	RNU3P1		U3	NG_001185	6068
HGNC:10176	RNU3P2		U3, U3.2		26844
HGNC:10177	RNU3P3		U3, U3.5, u3.7	NG_001254	26843
HGNC:10178	RNU3P4		U3, U3.6		26842
HGNC:10179	SNORD41	RNU41	U41	NR_002751	26810
HGNC:1018	BCRP5	BCRL5		NG_009418	648980
HGNC:10180	SNORD42A	RNU42A	U42	NR_000014	26809
HGNC:10181	SNORD42B	RNU42B	U42B	NR_000013	26808
HGNC:10182	SNORD43	RNU43	U43	NR_002439	26807
HGNC:10183	SNORD44	RNU44	U44	NR_002750	26806
HGNC:10184	SNORD45A	RNU45A	U45a	NR_002749	26805
HGNC:10185	SNORD45B	RNU45B	U45b	NR_002748	26804
HGNC:10186	SNORD46	RNU46, RNU40	U46, U40	NR_000024	94161
HGNC:10187	SNORD47	RNU47	U47	NR_002746	26802
HGNC:10188	SNORD48	RNU48	U48	NR_002745	26801
HGNC:10189	SNORD49A	RNU49	U49, U49A	NR_002744	26800
HGNC:10192	RNU4-1	RNU4B2, RNU4A	U4BL, U4	NR_003925	26835
HGNC:10193	RNU4-2	RNU4C, RNU4-1B, RNU4B1	U4c, U4b, U4A	NR_003137	26834
HGNC:10194	RNU4-7P	RNU4P1	U4, U4/7		6069
HGNC:10195	RNU4-8P	RNU4P2	U4, U4/14	NG_001187	6070
HGNC:10196	RNU4-3P	RNU4P3	U4, U4/4	NG_001252	26841
HGNC:10197	RNU4-4P	RNU4P4	U4, U4/5	NG_001251	26840
HGNC:10198	RNU4-5P	RNU4P5	U4, U4/6	NG_001250	26839
HGNC:10199	RNU4-6P	RNU4P6	U4, U4/8		26838
HGNC:102	CNNM1	ACDP1		NM_020348	26507
HGNC:1020	BCS1L		Hs.6719, BCS, h-BCS, BJS	NM_004328	617
HGNC:10200	SNORD50A	RNU50	U50	NR_002743	26799
HGNC:10201	SNORD51	RNU51	U51	NR_002589	26798
HGNC:10202	SNORD52	RNU52	U52	NR_002742	26797
HGNC:10203	SNORD53	RNU53	U53	NR_002741	26796
HGNC:10204	SNORD54	RNU54	U54	NR_002437	26795
HGNC:10205	SNORD55	RNU55, RNU39, SNORD39	U55, U39	NR_000015	26811
HGNC:10206	SNORD56	RNU56	U56	NR_002739	26793
HGNC:10207	SNORD57	RNU57	U57	NR_002738	26792
HGNC:10208	SNORD58A	RNU58A	U58a	NR_002571	26791
HGNC:10209	SNORD58B	RNU58B	U58b	NR_002572	26790
HGNC:10210	SNORD59A	RNU59	U59	NR_002737	26789
HGNC:10211	RNU5A-1	RNU5C, RNU5A	U5A, U5B1	NR_002756	26831
HGNC:10212	RNU5B-1	RNU5B	U5B1	NR_002757	26832
HGNC:10214	RNU5D-1	RNU5D	U5DS, U5DL	NR_002755	26830
HGNC:10215	RNU5E-1	RNU5E	U5E	NR_002754	26829
HGNC:10216	RNU5F-1	RNU5F		NR_002753	26828
HGNC:10217	SNORD60	RNU60	U60	NR_002736	26788
HGNC:10218	SNORD61	RNU61	U61, HBII-342	NR_002735	26787
HGNC:10219	SNORD62A	RNU62	U62, U62A	NR_002914	26786
HGNC:1022	BCYRN1		BC200, BC200a, NCRNA00004, LINC00004	NR_001568	618
HGNC:10220	SNORD63	RNU63	U63	NR_002913	26785
HGNC:10221	SNORA64	RNU64	U64	NR_002326	26784
HGNC:10222	SNORA65	RNU65	U65	NR_002449	26783
HGNC:10223	SNORA66	RNU66	U66	NR_002444	26782
HGNC:10224	SNORA67	RNU67	U67	NR_002912	26781
HGNC:10225	SNORA68	RNU68	U68	NR_000012	26780
HGNC:10226	SNORA69	RNU69	U69	NR_002584	26779
HGNC:10227	RNU6-1	RNU6A	U6, U6-1	NR_004394	26827
HGNC:10228	RNU6-6P	RNU6B, RNU6-6	U6-6	NR_002752	26826
HGNC:10229	RNU6-50P	RNU6P1, RNU6-50	U6	NG_001248	26825
HGNC:1023	BCYRN1P1		BC200b		619
HGNC:10230	RNU6V		87U6, LH87		6071
HGNC:10231	SNORA70	RNU70	U70, DXS648E	NR_000011	26778
HGNC:10232	SNORA71A	RNU71A	U71a	NR_002911	26777
HGNC:10233	SNORA71B	RNU71B	U71b	NR_002910	26776
HGNC:10234	SNORA72	RNU72	U72	NR_002581	26775
HGNC:10235	SNORD73A	RNU73	U73a, RNU73A	NR_000007	8944
HGNC:10236	RNU7-68P	RNU7P1	HSU7.732A, U7.68	NG_001188	6072
HGNC:10237	RNU7-86P	RNU7P2	HSU7.7/32B	NG_001189	6073
HGNC:10239	RNU7-55P	RNU7P4	HSU7.36, U7.55	NG_001191	6075
HGNC:1024	BCYRN1P2		BC200g		620
HGNC:10240	SNORD82	RNU82	Z25, U82	NR_004398	25826
HGNC:10241	PHAX	RNUXA	FLJ13193	NM_032177	51808
HGNC:10242	RNY1		hY1	NR_004391	6084
HGNC:10243	RNY3		hY3	NR_004392	6085
HGNC:10244	RNY4		HY4	NR_004393	6086
HGNC:10245	RNY4P1		hY4.B8	NG_005036	6087
HGNC:10246	RNY4P2		hY4.B7	NG_005037	6088
HGNC:10247	RNY4P3		hY4.F2	NG_005038	6089
HGNC:10248	RNY5			NR_001571	6090
HGNC:10249	ROBO1		DUTT1, FLJ21882, SAX3	NM_002941	6091
HGNC:10250	ROBO2		KIAA1568	XM_031246	6092
HGNC:10251	ROCK1		p160ROCK	NM_005406	6093
HGNC:10252	ROCK2				9475
HGNC:10253	PTBP3	ROD1	DKFZp781I1117		9991
HGNC:10254	ROM1		TSPAN23, ROM	NM_000327	6094
HGNC:10256	ROR1	NTRKR1		NM_005012	4919
HGNC:10257	ROR2	NTRKR2, BDB, BDB1			4920
HGNC:10258	RORA		RZRA, ROR1, ROR2, ROR3, NR1F1		6095
HGNC:10259	RORB		RZRB, NR1F2, ROR-BETA		6096
HGNC:10260	RORC		RZRG, RORG, NR1F3, TOR		6097
HGNC:10261	ROS1		MCF3, ROS, c-ros-1		6098
HGNC:10263	RP1		DCDC4A	NM_006269	6101
HGNC:1027	BDH1	BDH	SDR9C1	NM_004051	622
HGNC:10274	RP2		TBCCD2, NME10, NM23-H10	NM_006915	6102
HGNC:10276	RP22				6114
HGNC:10278	RP24				6116
HGNC:10282	RP29				54110
HGNC:10286	RP6				6104
HGNC:10288	RP9		PAP-1	NM_203288	6100
HGNC:10289	RPA1		REPA1, RPA70, HSSB, RF-A, RP-A	NM_002945	6117
HGNC:1029	BDKRB1		BKR1, B1BKR, bradyb1		623
HGNC:10290	RPA2			NM_002946	6118
HGNC:10291	RPA3		REPA3	NM_002947	6119
HGNC:10293	RPE			NM_006916	6120
HGNC:10294	RPE65	RP20	LCA2, rd12, BCO3	NM_000329	6121
HGNC:10295	RPGR	CRD, RP3, RP15, COD1	CORDX1	NM_000328	6103
HGNC:10296	RPH3AL		Noc2	NM_006987	9501
HGNC:10297	RPIA				22934
HGNC:10298	RPL10		NOV, QM, DXS648E, DXS648, FLJ23544, L10	NM_006013	6134
HGNC:10299	RPL10A	NEDD6	Csa-19, L10A	NM_007104	4736
HGNC:103	CNNM2	ACDP2		NM_017649	54805
HGNC:1030	BDKRB2		BK-2		624
HGNC:10300	RPL10P1	RPL10P		NG_000911	100288252
HGNC:10301	RPL11		L11	NM_000975	6135
HGNC:10302	RPL12		L12		6136
HGNC:10303	RPL13		D16S444E, BBC1, L13	NM_000977	6137
HGNC:10304	RPL13A	TSTA1	L13A		23521
HGNC:10305	RPL14		L14, hRL14, RL14, CTG-B33	NM_003973	9045
HGNC:10306	RPL15		RPL10, RPLY10, RPYL10, EC45, L15	NM_002948	6138
HGNC:10307	RPL17		rpL23, L17	NM_000985	6139
HGNC:10310	RPL18		L18	NM_000979	6141
HGNC:10311	RPL18A		L18A	NM_000980	6142
HGNC:10312	RPL19		FLJ27452, MGC71997, DKFZp779D216, L19	NM_000981	6143
HGNC:10313	RPL21		L21, FLJ27458, MGC71252, MGC104274, MGC104275, DKFZp686C06101	NM_000982	6144
HGNC:10314	RPL21P1	RPL21P			6145
HGNC:10315	RPL22		EAP, L22	NM_000983	6146
HGNC:10316	RPL23		rpL17, L23	NM_000978	9349
HGNC:10317	RPL23A		L23A	NM_000984	6147
HGNC:10318	RPL23AP1			NG_001027	6148
HGNC:10319	RPL23AP2			NG_008068	401904
HGNC:10320	RPL23AP3			NG_000878	8489
HGNC:10321	RPL23AP4			NG_000910	54029
HGNC:10322	MRPL23	RPL23L	L23MRP	NM_021134	6150
HGNC:10324	RPL23P2			NG_000909	54028
HGNC:10325	RPL24		L24	NM_000986	6152
HGNC:10327	RPL26		L26	NM_000987	6154
HGNC:10328	RPL27		L27	NM_000988	6155
HGNC:10329	RPL27A		L27A	NM_000990	6157
HGNC:1033	BDNF			NM_170735	627
HGNC:10330	RPL28		FLJ43307, L28	NM_000991	6158
HGNC:10331	RPL29	RPL29P10	HIP, HUMRPL29, L29	NM_000992	6159
HGNC:10332	RPL3		L3	NM_000967	6122
HGNC:10333	RPL30		L30		6156
HGNC:10334	RPL31		L31	NM_001098577	6160
HGNC:10335	RPL31P1	RPL31P		NG_000908	54027
HGNC:10336	RPL32		L32	NM_000994	6161
HGNC:10337	RPL32P4	RPL32L		NG_009522	100131339
HGNC:10338	RPL32P5	RPL32L2		NG_002456	23754
HGNC:10339	RPL32P1	RPL32P	RPL32-L	NG_000869	6163
HGNC:1034	BECN1		ATG6, VPS30	NM_003766	8678
HGNC:10340	RPL34		L34	NM_033625, NM_000995	6164
HGNC:10341	RPL34P1			NG_000895	26514
HGNC:10342	RPL34P2			NG_000894	26513
HGNC:10343	RPL34P3				54026
HGNC:10344	RPL35		L35	NM_007209	11224
HGNC:10345	RPL35A		L35A	NM_000996	6165
HGNC:10346	RPL36AL	RPL36A			6166
HGNC:10347	RPL37		L37	NM_000997	6167
HGNC:10348	RPL37A		L37A	NM_000998	6168
HGNC:10349	RPL38		L38	NM_000999	6169
HGNC:10350	RPL39	RPL39P42	L39	NM_001000	6170
HGNC:10351	RPL3L			NM_005061	6123
HGNC:10352	RPL3P1	RPL3P		NG_000877	8488
HGNC:10353	RPL4		L4	NM_000968	6124
HGNC:10354	RPL41		L41		6171
HGNC:10355	RPL41P5	RPL41L		NG_008264	6172
HGNC:10356	RPL41P1	RPL41L2		NG_000891	22971
HGNC:10357	RPL41P2			NG_000890	22970
HGNC:10358	RPL41P3			NG_000889	22969
HGNC:10359	RPL36A	RPL44	L36A	NM_021029	6173
HGNC:1036	BEX1			NM_018476	55859
HGNC:10360	RPL5		L5, PPP1R135	NM_000969	6125
HGNC:10361	RPL5P1			NG_009523	647436
HGNC:10362	RPL6	TXREB1	TAXREB107, L6		6128
HGNC:10363	RPL7		humL7-1, L7	NM_000971	6129
HGNC:10364	RPL7A		SURF3, TRUP, L7A	NM_000972	6130
HGNC:10367	RPL7P1	RPL17P, RPL7P		NG_001193	6174
HGNC:10368	RPL8		L8	NM_000973	6132
HGNC:10369	RPL9		L9		6133
HGNC:1037	CFB	BFD, BF	H2-Bf	NM_001710	629
HGNC:10371	RPLP0		PRLP0, P0, L10E, RPP0, LP0	NM_053275	6175
HGNC:10372	RPLP1		LP1	NM_001003	6176
HGNC:10377	RPLP2	D11S2243E	P2, RPP2, MGC71408, LP2	NM_001004	6181
HGNC:10378	MRPL12	RPML12	MRPL7/L12, MRPL7	NM_002949	6182
HGNC:10379	MRPL3	RPML3	MRL3	NM_007208	11222
HGNC:10380	MRPS12	RPMS12	RPS12, RPSM12		6183
HGNC:10381	RPN1		OST1	NM_002950	6184
HGNC:10382	RPN2		SWP1, RPNII, RIBIIR, RPN-II	NM_002951	6185
HGNC:10383	RPS10		MGC88819, S10		6204
HGNC:10384	RPS11		S11	NM_001015	6205
HGNC:10385	RPS12		S12	NM_001016	6206
HGNC:10386	RPS13		S13	NM_001017	6207
HGNC:10387	RPS14		EMTB, S14	NM_001025071	6208
HGNC:10388	RPS15		RIG, MGC111130, S15	NM_001018	6209
HGNC:10389	RPS15A		S15A	NM_001019	6210
HGNC:10396	RPS16		S16	NM_001020	6217
HGNC:10397	RPS17	RPS17L	RPS17L1, RPS17L2, MGC72007, S17	NM_001021	6218
HGNC:10398	RPS17P2	RPS17L1, RPS17A		NG_003033	6219
HGNC:10399	RPS17P3	RPS17L2, RPS17B		NG_009636	646013
HGNC:104	CNNM3	ACDP3		NM_017623	26505
HGNC:1040	BFSP1		CP94, CP115, LIFL-H, filensin	NM_001195	631
HGNC:10401	RPS18	D6S218E	KE3, KE-3, HKE3, S18		6222
HGNC:10402	RPS19		DBA, S19	NM_001022	6223
HGNC:10404	RPS2		LLREP3, S2	NM_002952	6187
HGNC:10405	RPS20		S20	NM_001023	6224
HGNC:10406	RPS20P3	RPS20A		NG_003034	6225
HGNC:10407	RPS20P4	RPS20B		NG_003035	6226
HGNC:10408	RPS20P1	RPS20P		NG_000906	54025
HGNC:10409	RPS21		S21	NM_001024	6227
HGNC:1041	BFSP2		CP47, CP49, LIFL-L, phakinin		8419
HGNC:10410	RPS23		S23	NM_001025	6228
HGNC:10411	RPS24		S24	NM_001026	6229
HGNC:10412	RPS24P1	RPS24P		NG_000893	23756
HGNC:10413	RPS25		S25	NM_001028	6230
HGNC:10414	RPS26		S26	NM_001029	6231
HGNC:10415	RPS26P1	RPS26P			54024
HGNC:10416	RPS27		MPS-1, MPS1, S27	NM_001030	6232
HGNC:10417	RPS27A		UBCEP80, Uba80, S27A		6233
HGNC:10418	RPS28		S28	NM_001031	6234
HGNC:10419	RPS29		S29	NM_001030001	6235
HGNC:10420	RPS3		FLJ26283, FLJ27450, MGC87870, S3	NM_001005	6188
HGNC:10421	RPS3A	MFTL	S3A		6189
HGNC:10422	RPS3AP1	RPS3AP		NG_000904	101241875
HGNC:10424	RPS4X		DXS306, CCG2, SCAR, SCR10, FLJ40595, RPS4, S4	NM_001007	6191
HGNC:10425	RPS4Y1	RPS4Y	MGC5070, MGC119100, S4	NM_001008	6192
HGNC:10426	RPS5		S5	NM_001009	6193
HGNC:10427	RPS5P3	RPS5L		NG_000903	54022
HGNC:10428	RPS5P1			NG_000896	26516
HGNC:10429	RPS6		S6	NM_001010	6194
HGNC:1043	BGLAP		OCN	NM_199173	632
HGNC:10430	RPS6KA1		RSK, RSK1, HU-1	NM_002953	6195
HGNC:10431	RPS6KA2		RSK, RSK3, HU-2	NM_021135	6196
HGNC:10432	RPS6KA3	MRX19, CLS	RSK, RSK2, HU-3	NM_004586	6197
HGNC:10433	RPS6KA4		RSK-B, MSK2	NM_003942	8986
HGNC:10434	RPS6KA5		MSK1, RLPK	NM_004755	9252
HGNC:10435	RPS6KA6		RSK4	NM_014496	27330
HGNC:10436	RPS6KB1	STK14A	S6K1, p70(S6K)-alpha, PS6K	NM_003161	6198
HGNC:10437	RPS6KB2		p70S6Kb, P70-BETA, STK14B, KLS	NM_003952	6199
HGNC:10438	RPS6KB3				6200
HGNC:10439	RPS6KC1		humS6PKh1	NM_012424	26750
HGNC:1044	BGN		DSPG1, SLRR1A	NM_001711	633
HGNC:10440	RPS7		S7	NM_001011	6201
HGNC:10441	RPS8		S8	NM_001012	6202
HGNC:10442	RPS9		S9	NM_001013	6203
HGNC:10443	RPS9P1	RPS9P		NG_003259	8410
HGNC:10445	RQCD1		RCD1, RCD1+, CNOT9, CT129	NM_005444	9125
HGNC:10446	RRAD		REM3, RAD	NM_004165	6236
HGNC:10447	RRAS			NM_006270	6237
HGNC:10448	RRBP1		ES/130, hES	NM_001042576	6238
HGNC:10449	RREB1		HNT		6239
HGNC:10450	RRH		peropsin	NM_006583	10692
HGNC:10451	RRM1			NM_001033	6240
HGNC:10452	RRM2				6241
HGNC:10454	RRM2P2				6244
HGNC:10455	RRM2P3			NG_000870	100420159
HGNC:10456	RRM2P4			NG_000871	6246
HGNC:10457	RS1	RS	XLRS1		6247
HGNC:10458	RSC1A1		RS1	NM_006511	6248
HGNC:1046	BHLHE40	STRA13, BHLHB2	DEC1, bHLHe40	NM_003670	8553
HGNC:10461	CLIP1	RSN	CYLN1, CLIP170, CLIP, CLIP-170	NM_002956	6249
HGNC:10462	RSS		SRS		140821
HGNC:10464	RSU1		RSP-1, FLJ31034	NM_012425, NM_152724	6251
HGNC:10466	RTKN		B5	NM_001015055	6242
HGNC:10467	RTN1	NSP			6252
HGNC:10468	RTN2	SPG12	NSP2, NSPL1	NM_005619	6253
HGNC:10469	RTN3		NSPL2, NSPLII, ASYIP, HAP, RTN3-A1	NM_006054	10313
HGNC:1047	BHMT		BHMT1	NM_001713	635
HGNC:10471	RUNX1	AML1, CBFA2	PEBP2A2, AMLCR1		861
HGNC:10472	RUNX2	CCD, CBFA1, CCD1	AML3, PEBP2A1, PEBP2aA1	NM_004348	860
HGNC:10473	RUNX3	CBFA3	AML2, PEBP2A3	NM_004350	864
HGNC:10474	RUVBL1		TIP49, NMP238, RVB1, TIP49a, Pontin52, ECP54, TIH1, Rvb1, INO80H		8607
HGNC:10475	RUVBL2		RVB2, TIP48, TIP49b, Reptin52, ECP51, TIH2, INO80J, Rvb2		10856
HGNC:10477	RXRA		NR2B1	NM_002957	6256
HGNC:10478	RXRB		NR2B2, H-2RIIBP, RCoR-1	NM_021976	6257
HGNC:10479	RXRG		NR2B3	NM_006917	6258
HGNC:1048	BHMT2			NM_017614	23743
HGNC:10480	RYBP		YEAF1, AAP1, DEDAF	NM_012234	23429
HGNC:10481	RYK	JTK5A	D3S3195, RYK1, JTK5	NM_001005861	6259
HGNC:10482	RYKP1	RYKL1, JTK5B, RYKP	JTK5	NG_005810	6260
HGNC:10483	RYR1	MHS, MHS1, CCO	RYR, PPP1R137		6261
HGNC:10484	RYR2	ARVD2	ARVC2, VTSIP	NM_001035	6262
HGNC:10485	RYR3				6263
HGNC:10486	S100A1	S100A	S100-alpha	NM_006271	6271
HGNC:10487	S100A10	ANX2LG, CAL1L	P11, 42C, CLP11	NM_002966	6281
